"id вопроса
",Номер билета,"Номер вопроса
(В билете)","Тема вопроса
","Картинка
(Прямая ссылка на изображение с расширением .jpg, .png)",Вопрос,Вариант1,Вариант2,Вариант3,"Вариант4
(Если варианта 4 нет,
 то не заполнять)",Правильный ответ,Подсказка,Ссылка на видеоразбор вопросов,,id темы,Тема,Количество вопросов,Изображение,Ссылка
104,,,Стоянка,https://pdd-exam.ru/img/pdd-online/bilet5-3.jpg,Разрешена ли Вам стоянка в указанном месте?,Разрешена.,Разрешена только в светлое время суток.,Запрещена.,,1,"Зона действия знака 3.27 «Остановка запрещена» в данной ситуации распространяется до конца населенного пункта. Поставив автомобиль на стоянку на обочине за знаком 5.24.2 «Конец населенного пункта», Вы не нарушите требования знака и пункт 12.1 ПДД РФ.",None,,,,,,
105,,,Проезд регулируемого перекрестка,https://pdd-exam.ru/img/pdd-online/bilet5-3.jpg,Разрешена ли Вам стоянка в указанном месте?,Разрешена.,Разрешена только в светлое время суток.,Запрещена.,,1,"Зона действия знака 3.27 «Остановка запрещена» в данной ситуации распространяется до конца населенного пункта. Поставив автомобиль на стоянку на обочине за знаком 5.24.2 «Конец населенного пункта», Вы не нарушите требования знака и пункт 12.1 ПДД РФ.",None,,,,,,
106,5,4,Знаки Таблички,https://pdd-exam.ru/img/pdd-online/bilet5-4.jpg,Нарушил ли водитель грузового автомобиля правила стоянки?,"Не нарушил, если разрешенная максимальная масса автомобиля не более 3,5 т.",Не нарушил.,Нарушил.,,3,"Знаки 6.4 «Парковка (парковочное место)» и 8.6.4 «Способ постановки транспортного средства на стоянку» указывают, что можно поставить таким способом на околотротуарную стоянку легковой автомобиль или мотоцикл. Следовательно, независимо от разрешенной максимальной массы данного грузового автомобиля водитель нарушил Правила.

Вопрос: Грузовой автомобиль стоит правильно, так как табличка разрешает такую парковку.
Ответ: Только табличка 8.6.1 относится ко всем ТС, в том числе и к грузовым. Остальные аналогичные таблички (8.6.2-8.6.9) относятся только к легковым автомобилям и мотоциклам, но не к грузовым. Поэтому грузовой автомобиль нарушил правила стоянки (стоит табличка 8.6.4 ).",https://vkvideo.ru/video-219391172_456239760?list=ln-knImQOynO535ZAcIvo,,,,,,
107,,,Стоянка,https://pdd-exam.ru/img/pdd-online/bilet5-4.jpg,Нарушил ли водитель грузового автомобиля правила стоянки?,"Не нарушил, если разрешенная максимальная масса автомобиля не более 3,5 т.",Не нарушил.,Нарушил.,,3,"Знаки 6.4 «Парковка (парковочное место)» и 8.6.4 «Способ постановки транспортного средства на стоянку» указывают, что можно поставить таким способом на околотротуарную стоянку легковой автомобиль или мотоцикл. Следовательно, независимо от разрешенной максимальной массы данного грузового автомобиля водитель нарушил Правила.

Вопрос: Грузовой автомобиль стоит правильно, так как табличка разрешает такую парковку.
Ответ: Только табличка 8.6.1 относится ко всем ТС, в том числе и к грузовым. Остальные аналогичные таблички (8.6.2-8.6.9) относятся только к легковым автомобилям и мотоциклам, но не к грузовым. Поэтому грузовой автомобиль нарушил правила стоянки (стоит табличка 8.6.4 ).",None,,,,,,
108,,,Проезд регулируемого перекрестка,https://pdd-exam.ru/img/pdd-online/bilet5-4.jpg,Нарушил ли водитель грузового автомобиля правила стоянки?,"Не нарушил, если разрешенная максимальная масса автомобиля не более 3,5 т.",Не нарушил.,Нарушил.,,3,"Знаки 6.4 «Парковка (парковочное место)» и 8.6.4 «Способ постановки транспортного средства на стоянку» указывают, что можно поставить таким способом на околотротуарную стоянку легковой автомобиль или мотоцикл. Следовательно, независимо от разрешенной максимальной массы данного грузового автомобиля водитель нарушил Правила.

Вопрос: Грузовой автомобиль стоит правильно, так как табличка разрешает такую парковку.
Ответ: Только табличка 8.6.1 относится ко всем ТС, в том числе и к грузовым. Остальные аналогичные таблички (8.6.2-8.6.9) относятся только к легковым автомобилям и мотоциклам, но не к грузовым. Поэтому грузовой автомобиль нарушил правила стоянки (стоит табличка 8.6.4 ).",None,,,,,,
109,5,5,Дорожная разметка,https://pdd-exam.ru/img/pdd-online/bilet5-5.jpg,"О чем предупреждает Вас вертикальная разметка, нанесенная на ограждение дороги?",О приближении к железнодорожному переезду.,О приближении к опасному перекрестку.,О движении по опасному участку дороги.,,3,"Разметка 2.5 применяется для обозначения боковых поверхностей дорожных ограждений на опасных участках: в начале ограждения на прямых участках, а также по всей длине на транспортных развязках в разных уровнях, закруглениях дорог радиусом менее 50 м, крутых спусках.",https://vkvideo.ru/video-219391172_456239761?list=ln-zTY1IhIaOQzXinE5iI,,,,,,
110,5,6,Светофор и регулировщик,https://storage.watbot.ru/bots/53270/general/88e10f18-fca6-40cc-8a5c-ec5ade139bb1.jpeg?expires_at=1727818176&s=UJDzHs8udTOpsVYudnWwiY8nuXciRY1n62YhdR2xN5ONgQUURreVf41NkkjJIl0F&sign=a3154b119a145cb136a1be49b1ec7fd039e8ab3a269ae8adb9471f142488e512,"Разрешается ли водителю продолжить движение после переключения зеленого сигнала светофора на желтый, если возможно остановиться перед перекрестком, только применив экстренное торможение?","Разрешается, если водитель намерен проехать перекресток только в прямом направлении.",Запрещается.,Разрешается.,,3,"Правила разрешают продолжить движение через перекресток, если при включении желтого сигнала водитель не может остановиться перед стоп-линией (знак 6.16 ) или перед пересекаемой проезжей частью без применения экстренного торможения (пункт 6.14 ПДД РФ).",https://vkvideo.ru/video-219391172_456239762?list=ln-MG1BAnl9dOYHO2hpLc,,,,,,
111,5,7,Перестроение,https://pdd-exam.ru/img/pdd-online/bilet5-7.jpg,"Поднятая вверх рука водителя мотоцикла является сигналом, информирующим Вас о его намерении:",Повернуть направо.,Продолжить движение прямо.,"Снизить скорость, чтобы остановиться и уступить дорогу легковому автомобилю.",,3,"Сигнал торможения, подаваемый водителем мотоцикла путем поднятия вверх левой руки, свидетельствует о его намерении снизить скорость, чтобы остановиться (пункт 8.1 ПДД РФ) и уступить дорогу легковому автомобилю, приближающемуся справа к нерегулируемому перекрестку равнозначных дорог (пункт 13.11 ПДД РФ).",https://vkvideo.ru/video-219391172_456239763?list=ln-zVPefL2a6Jqm9KZxDW,,,,,,
112,5,8,Предписывающие знаки,https://pdd-exam.ru/img/pdd-online/bilet5-8.jpg,"В каких направлениях Вам можно продолжить движение по левой полосе на грузовом автомобиле с разрешенной максимальной массой не более 3,5 т?",Только прямо.,Прямо и направо.,"Прямо, налево и в обратном направлении.",,3,"Знак 4.1.4 «Движение прямо или направо» и табличка 8.4.1 «Вид транспортного средства» информируют о том, что в указанных направлениях должны двигаться только грузовые автомобили с разрешенной максимальной массой более 3,5 т. На грузовые автомобили с разрешенной максимальной массой не более 3,5 т действие этого предписывающего знака не распространяется. Поэтому Вам можно продолжить движение по левой полосе во всех разрешенных с этой полосы направлениях, т.е. прямо, налево и в обратном направлении (пункт 8.5 ПДД РФ).

Вопрос: Почему нельзя повернуть направо? Знак вроде разрешает.
Ответ: Знаки действуют только на грузовые автомобили с разрешенной максимальной массой более 3,5 т. Но с учетом нахождения на левой полосе даже эти авто не могут повернуть направо, так как знак круглый. Они могли бы повернуть направо, если бы знак был бы квадратным. А вот квадратный знак 5.15.2 , установленный над левой полосой, разрешает поворот направо с левой полосы. В билете 14 вопрос 4 на рисунке квадратные знаки над полосами. В билете 27 вопрос 7 мотоциклист из левой полосы может повернуть направо, так как стоит квадратный знак 5.15.1 ""Направления движения по полосам"". В билете 20 вопрос 8 со средней полосы можно повернуть налево по той же причине.",https://vkvideo.ru/video-219391172_456239764?list=ln-ipe6tNoaGw0bhKFO2S,,,,,,
113,,,Знаки Таблички,https://pdd-exam.ru/img/pdd-online/bilet5-8.jpg,"В каких направлениях Вам можно продолжить движение по левой полосе на грузовом автомобиле с разрешенной максимальной массой не более 3,5 т?",Только прямо.,Прямо и направо.,"Прямо, налево и в обратном направлении.",,3,"Знак 4.1.4 «Движение прямо или направо» и табличка 8.4.1 «Вид транспортного средства» информируют о том, что в указанных направлениях должны двигаться только грузовые автомобили с разрешенной максимальной массой более 3,5 т. На грузовые автомобили с разрешенной максимальной массой не более 3,5 т действие этого предписывающего знака не распространяется. Поэтому Вам можно продолжить движение по левой полосе во всех разрешенных с этой полосы направлениях, т.е. прямо, налево и в обратном направлении (пункт 8.5 ПДД РФ).

Вопрос: Почему нельзя повернуть направо? Знак вроде разрешает.
Ответ: Знаки действуют только на грузовые автомобили с разрешенной максимальной массой более 3,5 т. Но с учетом нахождения на левой полосе даже эти авто не могут повернуть направо, так как знак круглый. Они могли бы повернуть направо, если бы знак был бы квадратным. А вот квадратный знак 5.15.2 , установленный над левой полосой, разрешает поворот направо с левой полосы. В билете 14 вопрос 4 на рисунке квадратные знаки над полосами. В билете 27 вопрос 7 мотоциклист из левой полосы может повернуть направо, так как стоит квадратный знак 5.15.1 ""Направления движения по полосам"". В билете 20 вопрос 8 со средней полосы можно повернуть налево по той же причине.",None,,,,,,
114,,,Повороты,https://pdd-exam.ru/img/pdd-online/bilet5-8.jpg,"В каких направлениях Вам можно продолжить движение по левой полосе на грузовом автомобиле с разрешенной максимальной массой не более 3,5 т?",Только прямо.,Прямо и направо.,"Прямо, налево и в обратном направлении.",,3,"Знак 4.1.4 «Движение прямо или направо» и табличка 8.4.1 «Вид транспортного средства» информируют о том, что в указанных направлениях должны двигаться только грузовые автомобили с разрешенной максимальной массой более 3,5 т. На грузовые автомобили с разрешенной максимальной массой не более 3,5 т действие этого предписывающего знака не распространяется. Поэтому Вам можно продолжить движение по левой полосе во всех разрешенных с этой полосы направлениях, т.е. прямо, налево и в обратном направлении (пункт 8.5 ПДД РФ).

Вопрос: Почему нельзя повернуть направо? Знак вроде разрешает.
Ответ: Знаки действуют только на грузовые автомобили с разрешенной максимальной массой более 3,5 т. Но с учетом нахождения на левой полосе даже эти авто не могут повернуть направо, так как знак круглый. Они могли бы повернуть направо, если бы знак был бы квадратным. А вот квадратный знак 5.15.2 , установленный над левой полосой, разрешает поворот направо с левой полосы. В билете 14 вопрос 4 на рисунке квадратные знаки над полосами. В билете 27 вопрос 7 мотоциклист из левой полосы может повернуть направо, так как стоит квадратный знак 5.15.1 ""Направления движения по полосам"". В билете 20 вопрос 8 со средней полосы можно повернуть налево по той же причине.",None,,,,,,
115,5,9,Перестроение,https://pdd-exam.ru/img/pdd-online/bilet5-9.jpg,Вам необходимо повернуть на примыкающую справа дорогу. Ваши действия?,"Не меняя скорости, перестроиться на полосу торможения, затем снизить скорость.",Возможны оба варианта действий.,"Не меняя полосы, снизить скорость, затем перестроиться на полосу торможения.",,1,В данном случае для поворота на примыкающую справа дорогу Вы должны своевременно перестроиться на полосу торможения и снижать скорость только на ней (пункт 8.10 ПДД РФ).,https://vkvideo.ru/video-219391172_456239765?list=ln-zzXG7jIXsW75PfV22H,,,,,,
116,5,10,Скорость движения,https://pdd-exam.ru/img/pdd-online/bilet5-10.jpg,С какой максимальной скоростью Вы имеете право продолжить движение на легковом автомобиле с прицепом?,5. 90 км/ч.,70 км/ч.,60 км/ч.,50 км/ч.,2,"За знаком 3.25 ""Конец зоны ограничения максимальной скорости"" скорость движения легкового автомобиля с прицепом вне населенного пункта на дорогах, не относящихся к автомагистралям, должна быть не более 70 км/ч (пункт 10.3 ПДД РФ).",https://vkvideo.ru/video-219391172_456239766?list=ln-e9UO1nds4FkrJZP8fh,,,,,,
117,5,11,Обгон. Опережение. Встречный разъезд,https://pdd-exam.ru/img/pdd-online/bilet5-11.jpg,Разрешен ли Вам обгон?,Запрещен.,"Разрешен, если обгон будет завершен до перекрестка.",Разрешен.,,3,"На нереryлируемых перекрестках обгон запрещен при движении по дороге, не являющейся главной (пункт 11.4 ПДД РФ). Поскольку Вы приближаетесь к перекрестку неравнозначных дорог, двигаясь по главной дороге (знак 2.3.1 «Пересечение со второстепенной дорогой»), то обгон разрешается совершить, даже если он не будет завершен до перекрестка.",https://vkvideo.ru/video-219391172_456239767?list=ln-97Qk0vwA3aYdSqVswL,,,,,,
118,5,12,Знаки Таблички,https://pdd-exam.ru/img/pdd-online/bilet5-12.jpg,Кто из водителей нарушил правила стоянки?,Оба.,Только водитель автомобиля Б.,Никто не нарушил.,Только водитель автомобиля А.,4,"Ставить ТС на стоянку разрешается в один ряд параллельно краю проезжей части. Под углом к краю проезжей части допускается постановка ТС при наличии знака 6.4 с одной из табличек 8.6.4 - 8.6.9 , а также линий дорожной разметки (пункт 12.2 ПДД РФ).",https://vkvideo.ru/video-219391172_456239768?list=ln-F3KZjkR8e8ZnDjuLfN,,,,,,
119,,,Стоянка,https://pdd-exam.ru/img/pdd-online/bilet5-12.jpg,Кто из водителей нарушил правила стоянки?,Оба.,Только водитель автомобиля Б.,Никто не нарушил.,Только водитель автомобиля А.,4,"Ставить ТС на стоянку разрешается в один ряд параллельно краю проезжей части. Под углом к краю проезжей части допускается постановка ТС при наличии знака 6.4 с одной из табличек 8.6.4 - 8.6.9 , а также линий дорожной разметки (пункт 12.2 ПДД РФ).",None,,,,,,
120,,,Проезд регулируемого перекрестка,https://pdd-exam.ru/img/pdd-online/bilet5-12.jpg,Кто из водителей нарушил правила стоянки?,Оба.,Только водитель автомобиля Б.,Никто не нарушил.,Только водитель автомобиля А.,4,"Ставить ТС на стоянку разрешается в один ряд параллельно краю проезжей части. Под углом к краю проезжей части допускается постановка ТС при наличии знака 6.4 с одной из табличек 8.6.4 - 8.6.9 , а также линий дорожной разметки (пункт 12.2 ПДД РФ).",None,,,,,,
121,5,13,Светофор и регулировщик,https://pdd-exam.ru/img/pdd-online/bilet5-13.jpg,Вы намерены развернуться. Ваши действия?,"Дождетесь, когда регулировщик опустит правую руку.","Выполните разворот, уступив дорогу легковому автомобилю.",Проедете перекресток первым.,,2,"При таком сигнале регулировщика движение разрешено Вам и водителю легкового автомобиля, поворачивающему направо (пункт 6.10 ПДД РФ). В этой ситуации очередность движения правилами проезда перекрестков не оговорена, поэтому дорогу должен уступить водитель, к которому ТС приближается справа (п. 8.9). Таким ТС будет для Вас легковой автомобиль после того, как Вы начнете движение и выедете на перекресток. Завершая разворот, Вы должны уступить дорогу легковому автомобилю.

Вопрос: Легковой автомобиль находится слева от меня. Почему я должен уступить ему дорогу?
Ответ: Надо смотреть помеху в тот момент, когда ваши пути пересекаются. Вы разворачиваетесь и, когда начнете движение назад, синий авто окажется справа.",https://vkvideo.ru/video-219391172_456239769?list=ln-eI9GbtcmV79RaL7AuX,,,,,,
122,5,14,Проезд равнозначного перекрестка,https://pdd-exam.ru/img/pdd-online/bilet5-14.jpg,Кому Вы должны уступить дорогу при движении в прямом направлении?,Только трамваю.,Обоим транспортным средствам.,Только легковому автомобилю.,,1,"На данном перекрестке равнозначных дорог Вы должны уступить дорогу только трамваю, имеющему преимущество, а водитель легкового автомобиля, находящегося слева, обязан уступить Вам дорогу (пункт 13.11 ПДД РФ).",https://vkvideo.ru/video-219391172_456239770?list=ln-HWlZyJxQvTqJwZMABJ,,,,,,
123,5,15,Знаки Таблички ,https://pdd-exam.ru/img/pdd-online/bilet5-15.jpg,Как Вам следует поступить при повороте налево?,Уступить дорогу только грузовому автомобилю с включенным проблесковым маячком.,Уступить дорогу обоим транспортным средствам.,Проехать перекресток первым.,,3,"Проблесковый маячок оранжевого или желтого цвета преимущества в движении не дает (п. 3.4). Поэтому, двигаясь по главной дороге (знаки 2.1 «Главная дорога» и 8.13 «Направление главной дороги»), Вы можете проехать данный перекресток неравнозначных дорог первым. Легковой автомобиль и грузовой автомобиль с маячком находятся на второстепенных дорогах и должны уступить Вам дорогу (пункт 13.9 ПДД РФ).

Вопрос: Сравните с билетом 4 вопрос 15 . Там и там водитель синего легкового автомобиля должен находиться на главной дороге, у вас на одном рисунке он на второстепенной, а на другом на главной, хотя знаков нет.
Ответ: В билете 4 вопрос 15 у синего авто ошибочно не нарисован знак 2.1 «Главная дорога». Но Вы видите перед собой знак 2.1 «Главная дорога», поэтому и встречный синий тоже находится на главной дороге. На практике при подъезде к перекрестку Вы ведь не будете проверять, если знак у синего. Мы не можем менять официальные билеты ГИБДД.",https://vkvideo.ru/video-219391172_456239771?list=ln-Qdr3HMIiQXkASdz23d,,,,,,
124,,,Проезд неравнозначного перекрестка,https://pdd-exam.ru/img/pdd-online/bilet5-15.jpg,Как Вам следует поступить при повороте налево?,Уступить дорогу только грузовому автомобилю с включенным проблесковым маячком.,Уступить дорогу обоим транспортным средствам.,Проехать перекресток первым.,,3,"Проблесковый маячок оранжевого или желтого цвета преимущества в движении не дает (п. 3.4). Поэтому, двигаясь по главной дороге (знаки 2.1 «Главная дорога» и 8.13 «Направление главной дороги»), Вы можете проехать данный перекресток неравнозначных дорог первым. Легковой автомобиль и грузовой автомобиль с маячком находятся на второстепенных дорогах и должны уступить Вам дорогу (пункт 13.9 ПДД РФ).

Вопрос: Сравните с билетом 4 вопрос 15 . Там и там водитель синего легкового автомобиля должен находиться на главной дороге, у вас на одном рисунке он на второстепенной, а на другом на главной, хотя знаков нет.
Ответ: В билете 4 вопрос 15 у синего авто ошибочно не нарисован знак 2.1 «Главная дорога». Но Вы видите перед собой знак 2.1 «Главная дорога», поэтому и встречный синий тоже находится на главной дороге. На практике при подъезде к перекрестку Вы ведь не будете проверять, если знак у синего. Мы не можем менять официальные билеты ГИБДД.",None,,,,,,
125,5,16,Специальные режимы движения,https://pdd-exam.ru/img/pdd-online/bilet5-16.jpg,Разрешено ли Вам проехать железнодорожный переезд?,"Разрешено, если отсутствует приближающийся поезд.","Разрешено, поскольку дежурный по переезду запрещает движение только встречному автомобилю.",Запрещено.,,3,"Когда дежурный по переезду обращен к водителям грудью или спиной с вытянутыми в стороны руками, запрещается движение через переезд независимо от сигнала светофора, положения шлагбаума и отсутствия приближающегося поезда (пункт 15.3 ПДД РФ).",https://vkvideo.ru/video-219391172_456239772?list=ln-DvrBB0n3UrL1aymcyi,,,,,,
126,5,17,Фары и сигнал,https://storage.watbot.ru/bots/53270/general/88e10f18-fca6-40cc-8a5c-ec5ade139bb1.jpeg?expires_at=1727818176&s=UJDzHs8udTOpsVYudnWwiY8nuXciRY1n62YhdR2xN5ONgQUURreVf41NkkjJIl0F&sign=a3154b119a145cb136a1be49b1ec7fd039e8ab3a269ae8adb9471f142488e512,В каких случаях разрешено применять звуковые сигналы в населенных пунктах?,В обоих перечисленных случаях.,Только для предупреждения о намерении произвести обгон.,Только для предотвращения дорожно-транспортного происшествия.,,3,"В населенных пунктах звуковые сигналы разрешается применять только для предотвращения дорожно-транспортного происшествия (пункт 19.10 ПДД РФ). При этом важно подавать их своевременно, а не в последний момент, и они не должны быть излишне продолжительными.",https://vkvideo.ru/video-219391172_456239773?list=ln-lgPe2Qjh3lWpeEXqdm,,,,,,
127,5,18,Неисправности и запрет,https://storage.watbot.ru/bots/53270/general/88e10f18-fca6-40cc-8a5c-ec5ade139bb1.jpeg?expires_at=1727818176&s=UJDzHs8udTOpsVYudnWwiY8nuXciRY1n62YhdR2xN5ONgQUURreVf41NkkjJIl0F&sign=a3154b119a145cb136a1be49b1ec7fd039e8ab3a269ae8adb9471f142488e512,При каком максимальном значении суммарного люфта в рулевом управлении допускается эксплуатация легкового автомобиля?,20 градусов.,10 градусов.,25 градусов.,,2,"Суммарный люфт в рулевом управлении легкового автомобиля не должен превышать 10 градусов (Перечень, п. 2.1).",https://vkvideo.ru/video-219391172_456239774?list=ln-AJmg3IuzVpLOqwxH1I,,,,,,
128,5,19,Основы безопасности,https://storage.watbot.ru/bots/53270/general/88e10f18-fca6-40cc-8a5c-ec5ade139bb1.jpeg?expires_at=1727818176&s=UJDzHs8udTOpsVYudnWwiY8nuXciRY1n62YhdR2xN5ONgQUURreVf41NkkjJIl0F&sign=a3154b119a145cb136a1be49b1ec7fd039e8ab3a269ae8adb9471f142488e512,"Как следует поступить водителю при высадке из автомобиля, стоящего у тротуара или на обочине?",Обойти автомобиль сзади.,Допустимы оба варианта действий.,Обойти автомобиль спереди.,,1,"Для обеспечения безопасности при высадке водителя из автомобиля, стоящего у тротуара или на обочине, ему следует обойти автомобиль сзади, чтобы иметь возможность видеть ТС, движущиеся в попутном направлении.

Вопрос: В этом вопросе и в билете 40 вопрос 19 одни и те же вопросы при разных ответах.
Ответ: Речь идет о высадке и посадке, поэтому и ответы разные.",https://vkvideo.ru/video-219391172_456239775?list=ln-GR54iQtXSx8p8h339X,,,,,,
129,5,20,Основы безопасности,https://pdd-exam.ru/img/pdd-online/bilet5-20.jpg,При движении в условиях тумана расстояние до предметов представляется:,Соответствующим действительности.,"Меньшим, чем в действительности.","Большим, чем в действительности.",,3,"При движении в условиях тумана водитель должен учитывать, что расстояние до предметов представляется большим, чем в действительности.",https://vkvideo.ru/video-219391172_456239776?list=ln-NFW0ozD1k0Mb0qfIAz,,,,,,
130,6,1,Общие положения,https://storage.watbot.ru/bots/53270/general/88e10f18-fca6-40cc-8a5c-ec5ade139bb1.jpeg?expires_at=1727818176&s=UJDzHs8udTOpsVYudnWwiY8nuXciRY1n62YhdR2xN5ONgQUURreVf41NkkjJIl0F&sign=a3154b119a145cb136a1be49b1ec7fd039e8ab3a269ae8adb9471f142488e512,Что называется разрешённой максимальной массой транспортного средства?,"Масса снаряженного транспортного средства без учета массы водителя, пассажиров и груза, установленная предприятием-изготовителем.","Масса снаряженного транспортного средства с грузом, водителем и пассажирами, установленная предприятием-изготовителем в качестве максимально допустимой.","Максимально допустимая для перевозки масса груза, установленная предприятием-изготовителем.",,2,"Разрешенная максимальная масса - масса снаряженного ТС с грузом, водителем и пассажирами, установленная предприятием-изготовителем в качестве максимально допустимой (п. 1.2. ПДД РФ). Поэтому она является постоянной величиной и не зависит от фактической загрузки ТС.",https://vkvideo.ru/video-219391172_456239778?list=ln-FxNGE1vngYsz8w8RpO,,,,,,
131,6,2,Запрещающие знаки,https://pdd-exam.ru/img/pdd-online/bilet6-2.jpg,Вам разрешено продолжить движение:,Прямо или в обратном направлении.,Только прямо.,Во всех направлениях.,,1,"Знак 3.18.2 ""Поворот налево запрещен"" запрещает только поворот налево. Поэтому Вы можете не только продолжить движение в прямом направлении, но и развернуться в разрыве сплошной линии.",https://vkvideo.ru/video-219391172_456239779?list=ln-NX20gMeIGmpTyRZz1c,,,,,,
132,6,3,Запрещающие знаки,https://pdd-exam.ru/img/pdd-online/bilet6-3.jpg,Какие из указанных знаков разрешают проезд на автомобиле к месту проживания или работы?,Только А.,Только В.,Все.,А и В.,4,"Действие знаков А (3.2 ""Движение запрещено"") и В (3.3 ""Движение механических транспортных средств запрещено"") не распространяется на ТС, принадлежащие лицам, проживающим или работающим в обозначенной зоне. Знак Б (3.1 ""Въезд запрещен"") запрещает движение в данном направлении всех ТС.",https://vkvideo.ru/video-219391172_456239780?list=ln-2KJpZwPENnzwfvwU1V,,,,,,
133,6,4,Знаки Таблички,https://pdd-exam.ru/img/pdd-online/bilet6-4.jpg,Что обозначают эти дорожные знаки?,Парковочное место только для автобусов.,"Парковочное место, где возможна пересадка на маршрутное транспортное средство (автобус или троллейбус).",Парковочное место для автобусов и троллейбусов.,,2,"Знак 6.4 «Парковка (парковочное место)» с табличкой 8.21.2 ""Вид маршрутного транспортного средства"" используется в крупных городах для обозначения мест стоянки ТС, организуемых для того, чтобы водители имели возможность оставить свои ТС на оборудованной стоянке и продолжить движение на маршрутном ТС - автобусе или троллейбусе.",https://vkvideo.ru/video-219391172_456239781?list=ln-LnbADUSRDfnUP0IibA,,,,,,
134,6,5,Дорожная разметка,https://pdd-exam.ru/img/pdd-online/bilet6-5.jpg,Разметка в виде треугольника на полосе движения:,"Указывает место, где Вам необходимо остановиться.",Обозначает опасный участок дороги.,"Предупреждает Вас о приближении к месту, где нужно уступить дорогу.",,3,"Разметка 1.20 (в виде треугольника на полосе движения) предупреждает о приближении к разметке 1.13 , перед которой Вы должны при необходимости остановиться, выполняя требование знака 2.4 «Уступите дорогу», т.е. предоставить преимущество ТС, движущимся по главной дороге.",https://vkvideo.ru/video-219391172_456239781?list=ln-LnbADUSRDfnUP0IibA,,,,,,
135,6,6,Светофор и регулировщик,https://storage.watbot.ru/bots/53270/general/88e10f18-fca6-40cc-8a5c-ec5ade139bb1.jpeg?expires_at=1727818176&s=UJDzHs8udTOpsVYudnWwiY8nuXciRY1n62YhdR2xN5ONgQUURreVf41NkkjJIl0F&sign=a3154b119a145cb136a1be49b1ec7fd039e8ab3a269ae8adb9471f142488e512,"Разрешается ли продолжить движение, если регулировщик поднял руку вверх после того, как Вы въехали на перекресток?","Разрешается, если Вы поворачиваете направо.",Разрешается.,Запрещается.,,2,"Поскольку Вы уже въехали на перекресток, следует продолжить движение в выбранном Вами направлении (пункт 6.14 ПДД РФ).",https://vkvideo.ru/video-219391172_456239783?list=ln-KmYO56oW4Gcwdc84vq,,,,,,
136,6,7,Сигналы поворота,https://pdd-exam.ru/img/pdd-online/bilet6-7.jpg,Вы намерены продолжить движение по главной дороге. Обязаны ли Вы включить указатели левого поворота?,Не обязаны.,Обязаны.,"Обязаны, если с других направлений приближаются транспортные средства.",,2,"Вы обязаны информировать других участников движения о своих намерениях. Поэтому, собираясь продолжить движение по главной дороге, т.е. выполнить левый поворот на перекрестке, Вы должны включить указатели поворота соответствующего направления (пункт 8.1 ПДД РФ).",https://vkvideo.ru/video-219391172_456239784?list=ln-A2gChFl3IiP5d8oPqo,,,,,,
137,6,8,Перестроение,https://pdd-exam.ru/img/pdd-online/bilet6-8.jpg,Кто должен уступить дорогу при взаимном перестроении?,Водитель грузового автомобиля.,Водитель легкового автомобиля.,Водителям следует действовать по взаимной договоренности.,,1,"При взаимном перестроении водитель грузового автомобиля должен уступить дорогу водителю легкового автомобиля, находящемуся от него справа (пункт 8.4 ПДД РФ).",https://vkvideo.ru/video-219391172_456239785?list=ln-TcolRzNxbxAtYn7xen,,,,,,
138,6,9,Повороты,https://pdd-exam.ru/img/pdd-online/bilet6-9.jpg,В каких направлениях Вам можно продолжить движение?,Прямо и налево.,Только прямо.,"Прямо, налево и в обратном направлении.",,3,"Поскольку Вы заняли крайнее левое положение на проезжей части, а разметку 1.11 разрешается пересекать со стороны прерывистой линии, то можно не только продолжить движение прямо, но и повернуть налево, а также выполнить разворот (пункт 8.5 ПДД РФ).",https://vkvideo.ru/video-219391172_456239786?list=ln-hTe2z9qWdDCzXT70zC,,,,,,
139,6,10,Скорость движения,https://pdd-exam.ru/img/pdd-online/bilet6-10.jpg,С какой максимальной скоростью Вы имеете право продолжить движение на легковом автомобиле?,70 км/ч.,110 км/ч.,90 км/ч.,,2,"На дорогах, обозначенных знаком 5.1 «Автомагистраль», легковым автомобилям разрешено движение со скоростью не более 110 км/ч (пункт 10.3 ПДД РФ).",https://vkvideo.ru/video-219391172_456239787?list=ln-dEeyiPtyDJVRcykreD,,,,,,
